price,rent,Apartement
12000.0,rent,apartment
16000.0,rent,apartment
2900.0,rent,house
7000.0,rent,apartment
4000.0,rent,apartment
70000.0,rent,store
27000.0,rent,apartment
17000.0,rent,store
6000.0,rent,apartment
1400.0,rent,apartment
3500.0,rent,apartment
17000.0,rent,store
8000.0,rent,store
11500.0,rent,store
3400.0,rent,apartment
12000.0,rent,apartment
12000.0,rent,apartment
78000.0,rent,store
5000.0,rent,apartment
6200.0,rent,apartment
5000.0,rent,apartment
5000.0,rent,apartment
50000.0,rent,store
4000.0,rent,apartment
12000.0,rent,store
8000.0,rent,apartment
65000.0,rent,store
3000.0,rent,store
2600.0,rent,apartment
4500.0,rent,store
6000.0,rent,PH
18500.0,rent,store
1000.0,rent,apartment
100000.0,rent,store
2500.0,rent,apartment
120000.0,rent,store
5500.0,rent,apartment
15000.0,rent,apartment
16000.0,rent,apartment
14000.0,rent,apartment
4000.0,rent,apartment
20000.0,rent,house
15000.0,rent,apartment
6500.0,rent,apartment
10500.0,rent,apartment
20000.0,rent,store
20000.0,rent,apartment
1500.0,rent,apartment
100000.0,rent,store
7500.0,rent,apartment
40000.0,rent,store
2500.0,rent,apartment
25000.0,rent,apartment
30000.0,rent,apartment
8700.0,rent,apartment
2000.0,rent,apartment
7000.0,rent,apartment
8500.0,rent,store
5400.0,rent,apartment
15000.0,rent,store
17000.0,rent,store
35000.0,rent,apartment
20000.0,rent,store
3700.0,rent,apartment
7000.0,rent,store
12000.0,rent,store
24000.0,rent,store
9000.0,rent,apartment
2500.0,rent,apartment
7500.0,rent,apartment
6500.0,rent,apartment
50000.0,rent,store
13000.0,rent,store
12000.0,rent,store
15000.0,rent,house
16000.0,rent,apartment
38000.0,rent,store
15000.0,rent,store
44000.0,rent,store
13000.0,rent,apartment
18000.0,rent,store
15500.0,rent,store
17000.0,rent,apartment
4400.0,rent,apartment
3500.0,rent,apartment
40000.0,rent,store
11000.0,rent,apartment
7000.0,rent,apartment
25000.0,rent,apartment
700.0,rent,apartment
30000.0,rent,apartment
10000.0,rent,apartment
3500.0,rent,apartment
2800.0,rent,house
2700.0,rent,store
4500.0,rent,house
2700.0,rent,apartment
10000.0,rent,house
17000.0,rent,house
24000.0,rent,house
1400.0,rent,apartment
4000.0,rent,store
50000.0,rent,store
4500.0,rent,apartment
30000.0,rent,house
5800.0,rent,house
1600.0,rent,apartment
9500.0,rent,store
5800.0,rent,apartment
